id;description_RU;description_EN;LEN;LEN
stolen_rooster_3;Скажу начистоту – про женихов соврала. Горе меня душит. Соседка обратила петухом моего суженого! Дай снадобье в помощь! Я петушка выкраду и расколдую поцелуем.;I gotta come clean with you - I lied about suitors. I'm mad with grief. My neighbor turned my beloved into a rooster. Help me steal him so I could dispel the evil charm with a kiss.;159;
stolen_rooster_4;Обворовала меня, титька козья! Прикинулась работником – и стащила петуха. Ты ей помогла-таки? Ну, тогда научи, как отыскать уворованное, а то я на тебя инквизиции донесу!;She stole from me, you goat tit! Mimic'd a worker somehow and took off with MY rooster. You aided her, didn't you? Either you help me get it back or face the inquisition. Your choice.;170;
Fool_2;Здравствуйте, уважаемая зельеварка! Мне нужно зелье, чтобы лягушкой притвориться. Есть у нас один рыбак, который меня недолюбливает, хочу посмеяться над ним.;Greetings, oh potion maker! II want to turn me into a frog. There is a fisherman who isn’t very fond of me, I’m gonna prank him severely.;157;
Fool_1_healing;Не сработало варево твое. Мельник увидел и тумаков надавал. Вылечи меня, а то всем нажалуюсь, что никудышная из тебя ведьма!;Your brew was no good! The miller saw me and gave me a thrashing. Cure me, or I’ll tell everyone what a lousy potion maker you are.;124;
mary.3;И снова привет. Ты так ловко с котлом управляешься, наверняка и готовишь здорово! Может, обменяемся рецептиками? Попробуй к крапиве добавить корешки, мой любимый суп будет.;Hi, it's me again! You are so deft with your cauldron, I'm sure you're also a good cook! Let's swap some recipes? I'll start: mix nettle and some roots, that would be my favorite soup!;172;
Beauty_Hunter;Отменное у тебя зелье вышло! Знаешь, дома пустовато как-то одному. Я тут присмотрел себе бабу, но не знаю, с какого краю к ней подступиться! Выпить бы чего-нибудь для этого дела.;Your potion worked splendid! Tell you what, my house feels empty sometimes. A girl caught my eye but that's a prey I never learned how to stalk. I’m sure you have something for it.;178;
Healing_Potion_Bandit;Ранили меня сильно, но я ушел и от псов, и от ловчих, чтоб он до конца жизни крапивой подтирались! Излечи меня, ведьма. Я человек слова – заплачу щедро и доброту твою запомню.;I've escaped baron's men and their hounds, but suffered a grievous wound. Heal me, witch! I'll pay you well, I swear. And I won't forget your kindness either...;175;
Unlove_Potion_Villager_Third;Ненормальная! Сколько можно семью мою пытаться порушить?! Верни мужа, его душа принадлежит мне!;Are you nuts?!? Stop trying to destroy my family! My husband’s soul belongs to me!;95;
devil.4;Скучала по мне, душечка? А уж я-то как скучал! Смешай {0}, {1} и {2}.;Did you miss me, sweetheart? I certainly did! Mix {0}, {1} and {2}.;69;
witch-memory-4;Выбор сделан и скреплен кровью. Теперь ты со мной навсегда, котеночек. В печали и в радости. И мы счастливы. Ты счастлив, верно?;I've made my choice, and sealed it with blood. You will stay with me forever. Share my burden. Yes, my dear kitty? And you're happy now. Happy, right?;128;
Fool_2_healing;Не сработало зелье твое! Засел я под корягой, начал квакать на всю округу… А рыбак меня по голосу узнал, да пинками прогнал, все гузно отбил. Лечи теперь!;Guess something went wrong. I hid under a log and started to croak wildly. The fisherman recognized my voice and kicked me real hard in the groin. Cure me now!;154;
mary.4;Ты так добра! Мне всегда хотелось самой... а, неважно. Я в лес иду, может, и для тебя каких травок пособирать? Нужно чего?;You are so nice! I've always wished I could… Nevermind. I'm going to the woods, can look for some herbs as well. Do you need some?;122;
Love_Potion_Hunter;Спасительница моя! Я той женщине понравился, но она какую-то чепуху несет. «Не хочу все испортить» и бла-бла. Слышал, что у тебя приворотные зелья есть. Поделись, век буду благодарен!;You’re my saviour! The girl liked me, but she keeps on babbling something about “not-wanting-to-bungle-it-up-again”. They say you can make love potions, is it true? Care to brew me one?;183;
Painter_3;Я чувствую, как шедевр зреет внутри меня. Это будет самая потрясающая картина на свете! Но неграмотные люди могут не понять всей ее глубины. Поможешь сделать так, чтобы ее любили все?;With my mind's eye I can see a masterpiece taking shape. It will be my magnum opus, the greatest painting ever! But I fear the masses are too ignorant to appreciate the grand design. Help me strike them with awe!;183;
Memory_Potion_Villager;Никак он со мной оставаться не хочет, даже твои проклятые зелья не помогают. Не могу я жить без него. Убери его из памяти моей!;He just keeps going back, your vile concoctions are no help! I can’t live without him. Say what, get him out of my mind!;127;
Doctor_3;И снова привет! Мне нравится, как у нас с тобой работа идет. Слышал, ты можешь делать людей сильнее – наверное, мышцы у них растут быстрее или еще что-то. Поделишься секретом? Для науки!;Hello again. I like our collaborative effort. Heard you can make people stronger - probably by promoting muscle growth or lowering inhibitions if I care to guess. Got a sample, for science?;186;
WakeCultist_3;Доброго дня тебе, хранительница темных знаний. Ты уже очень помогла нам. Немного нашему хозяину осталось, чтобы довести дела до конца. Дай же в третий раз то зелье, что пробудит мертвого!;Good day to you, oh keeper of arcane arts. Your assistance was most appreciated. Soon our master will bring the matters to the end. Thrice we ask for a potion of awakening, and thrice it we'll acquire!;187;
Doctor_4;Слушай, я тут понял. Если мы объединим знания, то сможем не только лечить! Главная проблема – чтобы плоть стала свежей и молодой. Помоги! У меня есть свежий труп, на нем испробую!;Now I finally understand. With our combined knowledge we can go beyond healing. We just need to solve the problem of rejuvenation and reinvigorating the flesh. A potion, posthaste! While the cadaver is still fresh!;179;
bastard-1;Мой господин устал от чужого внимания и хочет ненадолго сменить личину. Будет тебе, ведьма, золото и слава, но – учти! Спрос тоже большой.;My lord got weary with excessive attention his person draws, and desires to refashion his fair visage for a spell. Riches and glory will be yours, witch, if you deliver.;138;
bastard-2;К тебе намедни мой посыльный приходил, зелье для смены личины просил, а ты бурду сварила какую-то. И мы оба чуть голов не лишились! Продай то, что просим, иначе всем худо будет.;My man came to you the other day, asking for a face-changing potion. And you made him some glop, which was not very wise. Give us what we want or you will pay dearly.;177;
bastard-3;Господин, что оказал тебе доверие – бастард предыдущего короля. Злить его опасно. Лучше помоги ему подтвердить чистоту крови! Ответ скрыт в летописях, да как его отыщешь без зелья?;The lord who'd honored you with his trust is the late king's bastard. A dangerous man to cross. Just help him prove his claim. I need to stay focused while I ponder the ancient texts in the royal archive.;180;
bastard-4;Лекарь не зря тебя хвалил. Мне удалось отыскать легенду о древней зачарованной чаше, что чует королевскую кровь. Помоги ее найти. Один из королей-полудурков подарил ее младшим родичам.;The doctor was right about you! I was able to discover a legend of an ancient enchanted chalice that only answers to one of the blood. We need to find it. One of the mad kings gave it away to some distant relatives.;184;
bastard-42;Лекарь не зря тебя хвалил. Мне удалось отыскать легенду о древней зачарованной чаше, что чует королевскую кровь. Помоги ее найти. Один из королей-полудурков подарил ее младшим родичам.;The doctor was right about you! I was able to discover a legend of an ancient enchanted chalice that only answers to one of the blood. We need to find it. One of the mad kings gave it away to some distant relatives.;184;
chalice-1;Горе преследует мою семью. Умер мой дядя, а кузина одержима фамильной чашей! Советник утверждает, что никакой чаши нет, а кузину спасет только забытье, вот я и прошу о помощи.;Ruin has come to our family. My uncle died and now my cousin is obsessed with the family chalice. My advisor says he never heard of it. He thinks the only way to save the baroness is to make her forget the whole thing.;175;218
chalice-2;Советник говорит, что кузен против меня каверзу затеял. А я не верю. Вот и решила устроить пир, чтобы испытать родственника. Помоги уберечься и вызнать правду. Клянусь фамильной чашей – награжу щедро!;My advisor confided that my cousin is plotting against me. What a preposterous notion! I'm going to test him by holding a grand feast. Help me protect myself and learn the truth. By the chalice, I'll reward you plenty!;200;218
chalice-3;Кузина все забыла, гуляет в саду и чирикает птахой. Но теперь советник хочет извлечь фамильную чашу из склепа и наполнить ядом… Он знал о ней! Помоги мне наследником прикинуться и обмануть чашу, а потом лжецу отомстим.;The cousin lost her mind and is happy as a bird. Now the advisor wants me to get the chalice and fill it with poison... So he knew about that thing all along! I'd rather trick the chalice to pass myself off as an heir.;221;218
chalice-4;Не врал советник. Кузен вознамерился меня отравить, но был пойман за руку. Впрочем, не время радоваться. У заговорщика остались союзники. Нужно избавиться от них. Помоги моим людям в поисках или битве!;My advisor was right. The cousin tried to poison me but was caught red-handed. No time for a celebration though – he had allies. I need to get rid of them and my men will need help in their search and inevitable fight.;199;218
chalice-5;Я не просил травить кузину! Тебе что, советник заплатил? Только ему наша смерть выгодна. Вылечи сестру, молю! Тогда я отомщу советнику и разберусь с этой фамильной чашей по-своему.;I never asked you to harm my cousin! The advisor must have payed you for that. Heal her, I beg of you! Then I'll deal with that advisor snake and make away with the chalice!;180;173
M-dark_knowledge;Скрой мой облик, ведьма. Епископ ищет тех, кому тайные знания ведомы, а помощь ему требуется или на костер всех готовит – мне то неведомо. Но, почему бы не рискнуть? Культу нужны влиятельные друзья.;Help me change my appearance, witch. The bishop is looking for those who are into the occult. I don't know whether he seeks power or wants to eradicate heresy, but it's worth the risk. The cult needs friends in high places.;198;223
M-forester;Вот это котел! А выуди-ка из него, хозяйка, зелья для сна. Я по поручению епископа грибы в топях собирал, да и съел парочку с голодухи. С тех пор глаза стеклянные, бодрость лютая! И на что божьему человеку такая погань?;What a cauldron! Is there perchance a sleep potion brewing in it? I was picking swamp mushrooms and ate a couple for a snack. Wasn't able to sleep ever since. Why on earth did the bishop sent me there?;219;
M-gravedigger;Ломанули мы старый склеп по заказу дворцового хлыща. Внутри мох странный растет, чуть тронешь, пыльца так и летит. Чешемся после нее, как хряки! Подсоби, чем сможешь, до крови уже кожу расцарапали.;So we broke into that old crypt, right. Some buffoon from the palace paid us real good for it. One problem though, this weird dry moss inside got everywhere. It itches something awful, help!;197;
M-nun;Его Преосвященство велел мне распутной девкой заделаться и пробраться на заставу королевских гвардейцев. Мне бы капитана приворожить, а то вдруг он только до молодух охоч?;His Holiness bid me to sneak into king's guard outpost under the guise of, ahem, harlot. I want to do it right so I need to seduce the captain – and he should like the young and the beautiful. Any help?;171;
M-pilgrims;Побили на дороге паломников. Я подранков приютил, а они такое про монарха говорят – уши вянут! Подлечи их, глядишь, узнаем, что с ними стряслось.;I found a group of pilgrims on a road, all beaten up. Took them in and you wouldn't believe what do they dare to say about our king! Lets heal them, maybe we'll learn what happened to them.;145;
M-rat;Ходил я с разбойниками тутошними, следил по поручению важной особы. Да раскрыли меня, когда письмо егерям писал. Еле ноги унес. Смени мне лицо, ведьма, чтобы живым до дворца добрался!;I ran with a band of outlaws for some time, had to dig up some information Orders are orders, you understand. They'd found out and I barely escaped with my life. I need a new face if I want to make it to the palace alive.;183;
M-wildlings;Наш старшой с дикарями лесными столковался. Хочет их к делу приспособить. Вот только сначала нужно вождя поколотить, а тот здоровый, как лось! Я на кулак крепкий, но без помощи не сдюжу.;Boss made a deal with some wildlings. Thinks they might be of some use. Gotta best their chief in fight, and he’s huge like a moose. I’m not too shabby with my fists, but I’ll take all the help I can get.;186;
temptation-1;Божий свет да озарит твою моровую хижину, ведьма. Найди среди своих декоктов и алхимий зелье настолько светлое, что избавит от тяжкой болезни чистую душой деву, ибо сам дьявол возжелал ее плоти!;Heaven’s light be upon you, witch. Search among your stores of vile decoctions and draughts, find me one pure elixir with the power to heal the sick, for a maiden chaste and pure needs it. The devil himself lusts for her!;194;
temptation-2;Сестра епископа нездорова, а он то монахиню свою к шарлатанам гоняет, то молится! Думает, ее сам дьявол одержал. Но я вижу – захворало не тело. Разум! И, на время, больную следует от разума избавить.;Bishop’s sister is ill. He thinks she’s possessed, by the devil himself no less. In my expert opinion her illness is not of body, but one of the mind. Dulling her mind for a time should help. In theory.;199;202
temptation-3;Глупо передавать через лекаря вредоносное зелье, коллега! Был о вас лучшего мнения. Впрочем, все можно исправить, если изволите дать отвар, о котором я просил. Лишите рассудка несчастную!;Between us colleagues it’s quite unwise to try to poison a patient in such an obvious way. I expected better of you. There’s still hope despite your efforts. Just give me the potion I asked for, to take her mind away!;187;217
temptation-4;Лекарь не помог епископу. Девица то смеется, то задыхается, то сипит, как змей! Вот и воззвал божий человек к культу. И культ поможет - наш бог пожрет болезнь, если правильно погрузить деву в сон.;The bishop's sister is getting worse. The man of god saw no option but to seek our dark knowledge. If the maiden is put into magical slumber, <i>our</i> god could devour her ailment. Or so we believe.;196;200
king-1;Я здесь по воле короля. Настало время заткнуть епископу пасть, а то лает, как бешеный пес, подбивает прихожан к восстанию! А сам якшается с ведьмами… В общем, дай зелье, чтобы повнимательнее я стал.;Word and deed sovereign. The bishop must be silenced. Like a rabid dog he lashes at the rightful king and incites rebellion. While consorting with witches, no less… Anyway, I need a potion to sharpen my senses.;198;210
king-21;Нам нужно сместить епископа! Колдовство на него не подействует, но мы можем его опоить простым алкоголем, это развяжет ему язык. Выбьем признание, что епископ отвернулся от света!;The bishop must be deposed! Charms and sorcery won’t affect him, but hard liquor might. Maybe when his tongue loosens a bit he’ll let slip how far he’d strayed from God’s light!;179;177
king-22;Нам нужно сместить епископа! Колдовство на него не подействует, но мы можем его опоить простым алкоголем, это развяжет ему язык. Выбьем признание, что епископ отвернулся от света!;The bishop must be deposed! Charms and sorcery won’t affect him, but hard liquor might. Maybe when his tongue loosens a bit he’ll let slip how far he’d strayed from God’s light!;179;177
Nightmare_Children;П-привет. Мне это... Ну... Зелье нужно. Да любое подойдет, я вообще на спор к вам пришел, не превращайте меня в лягушку, пожалуйста!!!;H-hullo. I wanna, uh...p-potion. Any will do, I'm just here on a dare, just d-don't turn me into a frog p-please!!!;134;115
Unlove_Potion_Villager_Second;Муж опять из дома сбежал! Не знаю, сколько тебе платит та стерва, но я дам больше за хорошее зелье. А не поможешь - всем пожалуюсь, что ты семьи рушишь!;Me husband has run away again. I don't know how much that bitch pays you, but I'll double it! Make me the right potion, or else…;152;128
Love_Potion_Villager_Second;Что-то слабовато твое приворотное зелье оказалось, всего несколько дней он у меня прожил, а потом опять к жене сбежал. Навари ещё, это были лучшие дни в моей жизни!;Your love potion got weak fast, he stayed with me for a couple of days and returned under his wife’s skirt. It was so wonderful, brew me some more!;164;147
Strength_Bandit_EscapeFromPrison;Повязали моих ребят, когда мы пытались деньги отобрать. Не беда! От петли их спасем, и от казематов, да еще и сталью пощекочем ребра стражам. Всего-то и нужно стену ночью разобрать… Поможешь?;My boys got rounded up when we tried to mug the tax collector! Now they are behind bars. Big deal! We're gonna break them out and shank some guards while we're at it. Now, we just need to get through that wall...;191;212
Memory_Potion_Husband;Здравствуй, колдунья. Женушка с соседкой всё дергают меня туда-сюда твоими зельями дрянными. Думают, что я не понимаю ни черта. Дай чего-нибудь, чтобы это прекратилось.;Good day, sorceress! My wife and the woman next door keep poisoning me with your foul potions. They think I don’t realize anything, but I do. I’m fed up, give me something to stop it.;168;183
devil.5;Брат мой передает тебе благодарность. Уж очень крепко он спал. Смешай-ка {0}, {1} да {2}.;My brother sends his regards. He's been asleep for a while. Mix {0}, {1}, {2}.;89;78
scarecrow-1;Пошел я ночью опузыриться за амбаром, глядь – в пшенице бродит кто-то. Собрался псов спустить, а вижу – пугало наше шастает. Жуть! Спалить бы, да жалко. Хорошо ворон гоняет. Может, усыпим его как-то?;Last night I was passing water behind my barn and saw someone creeping in the field. 'Tis was my own scarecrow! Spooky, innit? Shoulda burn it honestly, but then who will scare them crows? Put it to sleep, mayhaps?;199;214
scarecrow-2;Муж мой про пугало рассказывал? Болтун глупый! Открою тебе рецепт семейный: начаруй выварку из гадюки с грибами – и мне отдай.;Guess my husband blabbed about the scarecrow. Him and his big mouth! Well, I know how to put his mind at ease. A family recipe, you can help me with. Snake-and-mushrooms brew, very potent.;124;188
scarecrow-knight;Расплодили нечисть! Ну, зато достойному воину разминка будет. Дай мне что-нибудь, чтобы работалось получше, я ваше пугало живо угомоню! Прославлюсь. Может, король на службу позовет.;This land is ripe with monsters of all kind! Guess I have my work cut out for me. Starting with that scarecrow. Now, give me something to help in battle. Glory awaits!;179;167
jack01;Я отставной капеллан, но теперь за кладбищем смотрю. И пью. Да вот явился вчера по мою душу бес паскудный. Три дня ходить за мной будет, чтобы со свету сжить! Помоги не попасть к нему в лапы, родич твой небось?;I was a chaplain once, now I tend to the graves. And drink at my pleasure. Life was good, it was. Until a vile demon came for my soul last night. I'm lost unless you help me get away from him!;207;192
jack02;Пока бес еле копытами перебирал, я все могилки оббежать успел! Жаль, второй раз не сработает… Теперь бы зелье, чтоб рогатому не поздоровилось! Обряжусь эдакой дамой, чтоб его смутить. А сунется – декоктом твоим угощу!;It worked! The demon was too slow and I blessed every grave before sunrise. Don't think it'll work the second time. What if I dress up like a lady tonight? And shove your potion in the demon's face while he is confused!;217;219
jack03;Снова одолели беса! Иду весь нарядный, знойный, как рябчик из печи, а тут рогатый на встречу. Говорит, ну позабавлюсь! А я отваром ему промеж ух… Думаю, на третий заход устрою ему пьянку. Я ж в этом деле сноровистый!;Fooled him again! I was walking along, all dressed up, and there came the demon. Well, I threw your potion right into his ugly face. Now, for the third time we'll do a drinking contest. If I'm good at one thing...;216;213
blind-6;Я слеп, но последователя тайного ремесла всегда узнаю. Тайный Круг выбрал тебя, но вначале разгадай простенькую загадку. Смешай то, что соединяет с богами, то, что приносит слезы, и то, что помогает видеть скрытое.;I may be blind but I sense another practitioner of the craft well enough. You gained attention of The Circle. But first, a puzzle! Mix one that connects you with gods, one that brings you tears and one that helps you see.;207;221
blind-7;В деревню явился тот, кто вершит наши судьбы. Времени для игр не осталось, и Круг взывает о помощи. Смешай красный гриб, лист печали и ночную ягоду.;The one that resolves fates came into town. There is no more time for games, The Circle must ask for your help. Mix me the red shroom, the grieving leaf and the night berry.;148;173
intro-circle1;Я видел странный сон про существо, что наблюдало за мной из бутылки комбучи! Помнишь, как ее готовить?;I just had a strangest dream about a creature watching me from the depth of a kombucha bottle. Do you remember how to make that drink?;102;134
intro-circle2;Приятно снова тебя видеть! В этот раз у нас есть особая цель, и она чертовски мне нравится. Нужно собирать деньги! Готовь самые дорогие зелья, пора местным олухам как следует раскошелиться!;Great to see you again! This time we have a goal and it's my favorite! Let's make some money, yeeha! Ready up your most expensive potion, let's squeeze those dummies.;189;166
intro-circle3;Приходили посланники Круга. Сказали, что помогут распространять нужные нам слухи. Такие дела проворачивают по ночам, готовь деньги заранее. А пока свари мне зелье бодрости, разговор был долгим, я торговался как зверь!;Some guys from The Circle paid their respects. Said they are going to help us spread any rumors we need for a small fee. Brew some pick-me-up, I was up all night giving them the hell of a bargain!;217;196
ixbt-vampireHunter-2;Чую я, что был у тебя мой заклятый враг! Наверняка он придет еще раз. Позволь мне подкараулить его в твоем дровяном сарае, да дай мне на то зелье в помощь.;I feel that my nemesis has paid you a visit! No doubt he will return. Allow me to set up an ambush in your woodshed, and aid me with a potion.;155;142
ixbt-vampire-2;Отлично посидели! Предлагаю сделать это доброй традицией и распить еще бутылочку веселящей отравы. Только подай что-нибудь магическое на этот раз, а не вчерашнее пойло.;That was quite a party! Let's drink another bottle of a blithesome poison. Only serve something truly magical this time.;168;120
ixbt-vampire-2-1;Отлично посидели! Предлагаю распить еще бутылочку дьявольской отравы. Только подай что-нибудь крепенькое на этот раз, а не вчерашнее пойло.;That was quite a party! Let's drink another bottle of a blithesome poison. Only serve some potent spirit this time, none of that witch-stuff.;139;141
ixbt-vampire-2-reset;Хватит пьянства. Алкоголь на мгновение возвращается миру краски, а потом на душе еще гаже становится. Прошлое не оставляет меня! Дай зелье, чтобы я забыл о нем. Может, жизнь снова обретет вкус?;Enough of that debauchery. It brings colors to my world only for a limited time. Then memories return. Give me something to forget my past, maybe then I will feel alive again.;193;175
ixbt-vampireHunter-2-1;Чую я, что был у тебя мой заклятый враг! Наверняка он придет еще раз. Позволь мне подкараулить его в твоем дровяном сарае, да дай мне на то зелье в помощь.;I feel that my nemesis has paid you a visit! No doubt he will return. Allow me to set up an ambush in your woodshed, and aid me with a potion.;155;142
ixbt-vampireHunter-3;Этот вампир оказался не моим заклятым врагом, а моим заклятым другом. У нас три части скрижали, теперь мы можем разгадать загадку ключа и излечить Мишеля. Помоги изучить скрижаль и понять, что за тайны зашифрованы в ней.;This vampire happens to be not my sworn enemy, but my sworn friend. Now we have three parts of the scripture, help us decipher it and find out the way to cure Michael.;220;167
ixbt-vampireHunter-slay-final;Мне пришлось убить старого друга. У него была третья часть скрижали ордена iXBT, теперь мы можем разгадать загадку ключа. Помоги изучить скрижаль и понять, что за тайны зашифрованы в ней, чтобы почтить память Мишеля.;It was my old friend I had to kill. He owned the third part of the iXBT scripture. Help me decipher it and learn its secret as a homage to Michael.;216;147
ixbt-vampireHunter-slay;В городе бесчинствует вампир, и моя обязанность вступить с ним в схватку! Помоги мне, ведьма, дай зелье верное, а уж чеснока и кольев у меня и так хватает.;A vampire is on the loose in the city and my duty is to slay it! Help me, witch, brew the right potion, I'll add its power to my garlic and stakes.;155;147
ixbt-vampire-slay-final;У охотника была третья часть таинственной скрижали. Я вспомнил, что он был моим другом, но слишком поздно... Помоги изучить скрижаль и понять, что за тайны зашифрованы в ней, чтобы почтить память Жана.;The hunter had the third part of the scripture on his body. This is how I remembered him to be my old friend. Help me decipher the scripture and learn its secrets as a homage to Jan.;201;182
ixbt-vampire-guard-slay;В городе бесчинствует упырь каких еще поискать. Многих моих ребят уложил, я лично пойду с ним на бой. Дай мне зелье в помощь, а крестами да чесноком я уж сам обмажусь.;A bloodsucking beast is on the loose in the city! Had killed many of my boys, so I'm going to fight him personally. Brew me the right potion, witch, I'll add it to the garlic and stakes I gathered.;167;197
roses-1;Из рощи не выходил десять зим, но беда меня пригнала. Гниет один из священных дубов… Отчего гниет? Есть догадки. Подай-ка, для начала, простого целебного зелья, а уж потом поглядим.;I wouldn't left my woods but my need is dire. One of the sacred oaks is rotting. Why? Why?... I have an idea but I hope I'm wrong. Let's try one of your healing potions and see.;181;177
roses-2;Так и думал. Гниение не лечится, зато теперь знаю, чья в том вина. Свари зелье сна, тайный рецепт которого хранится у хранителей рощи сотни лет: корень хлебный, трава жгучая и крылья нетопыря.;It is as I feared. The rot would not heal. At least now I know the illness...and the cure. Listen closely for I'm going to share a secret recipe: root of bread, stinging grass and wing of bat.;192;192
roses-3;Не сладил я с деревьями! Больны они, неизлечимо больны, и заражают землю. Придется взять грех на душу и срубить дубы, но в одиночку я и до первых снегов не управлюсь. Укрепи мои силы, ведьма.;The trees can't be saved. Their sickness poisons the earth. With heavy heart I decided to cut them down, but I'm just one man when I need the strength of ten.;191;158
roses-4;Порубил стволы. Червивые они, гноем сочились… Жаль. Ни одно королевство столько не стояло, сколько дубы к небу тянулись! Но теперь знаю истоки бед. Зелье сонное нужно: корень хлебный, трава жгучая и крылья нетопыря.;I have cut it all down, to a single tree... Those oaks were older than any kingdom of men! At least I found the source of corruption. Brew me a sleep potion: a root of bread, a nettle leaf and a bat wing.;215;204
roses-12;Натворили мы дел с тобой, ведьма… роща теперь как рана гнилая. Священные дубы увядают, слизью текут. Потому снова к тебе за помощью пришел – выходить землю нужно, а то все слезами умоемся!;Looks like we've messed up, witch. The grove is like a festering wound, the trees wither and the ground oozes with slime. The land cries for help, we need to cure it!;188;166
roses-devil;Согласен с тобой, душенька! Не скрыть смрада людских грехов за запахами роз. Пусть гниль выходит наружу! Лес рубят, щепки летят: {0}, {1} и {2}.;Well done, darling. No use hiding dirty deeds under pretty flowers. As for the trees, well, it's the circle of life! Mix {0}, {1}, {2}.;144;135
bishop-1;Епископ подозревает, что король плетет против него интриги. Чтобы разоблачить заговор нужно опоить и вывезти из столицы нескольких поверенных его величества. Сделай так, чтобы и пошевелиться не могли!;The bishop suspects that the king is plotting against him. In order to expose the conspiracy we need to get several of his majesty's counselors blackout drunk and out of the capital. Start brewing.;200;197
bishop-2;Вот мы и встретились, дочь тьмы. Пришло время напомнить королю, кем ниспослана его власть. Но сначала нужно избавить самодержца от сторонников. Чревоугодие – их слабость, а яд и болезни – наше оружие.;We meet at last, daughter of darkness. It is high time we remind the king of the even higher power. But first we must get rid of dictator's supporters. Gluttony is their weakness, so poison and illness will be our weapons.;200;222
bishop-3;На Пасхальном служении король должен поверить, что окружен своими людьми, в то время как это будут верные сторонники бога. Мы запрем двери церкви и призовем правителя к ответу!;During the Easter service the king must believe he is surrounded by his trusted people. In reality, they will be the bishop's... I mean, God's chosen. We will lock the doors and bring the monarch to justice!;176;
bishop-3-cured;На Пасхальном служении король должен поверить, что окружен своими людьми, в то время как это будут верные сторонники бога. Мы запрем двери церкви и призовем правителя к ответу!;During the Easter service the king must believe he is surrounded by his trusted people. In reality, they will be the bishop's... I mean, God's chosen. We will lock the doors and bring the monarch to justice!;;
revolt-bastard;Наш незадачливый узурпатор считал себя слишком умным. Убить короля на охоте? Глупая затея. Теперь разбойники мертвы, а лже-король в бегах. Помоги же догнать его!;"Our would-be usurper isn't as clever as he thinks he is. An ""accident"" during a royal hunt to get rid of the king? It was doomed to fail. Now the bandits are dead and the false king is on the run. Help me catch him!";161;
revolt-count;Петля готова. Через меня король узнал о темных делах епископа и хочет вызнать больше. Что ж, угостим его слухами, изысканными кушаньями, винами и даже ядом, который ты сваришь.;The noose tightens. The king learned of bishop's dark deeds thanks to me and desires to know more. Well, let's feed him some delicious gossip, fine wines and first-grade poison which you are going to brew.;176;
revolt-bandit;Как когда-то на охоте король погубил своего брата, так сейчас и его самого ждет гибель. Пусть пожинает то, что сам же и посеял. Мы с ребятами устроим засаду, окажи нам помощь.;It all began during a royal hunt. And so it's going to end. The king will reap what he'd sown. We're making an ambush and we're gonna need your help.;175;
revolt-1;Король и епископ плетут интриги, а простой народ страдает. Столкнуть бы двух дурней лбами, чтоб треск стоял! Хочу у ребят со щупальцами кой-чего узнать. Не знаешь, какое зелье им бы пригодилось?;The king and the archbishop plot and scheme while the people suffer. I'm gonna crack their thick heads together, ha! Those weird cultists fellas, they can help. Got any potion I can trade them for the information I need?;194;
revolt-2;А епископ-то не брезгует дьявольскими ремеслами! И король узнает об этом. Ну, теперь вывернем грязное белье монарха святоше на плешь. Свари-ка зелье, которое и разбойницу превратит в красотку.;Turns out the bishop has no problem using the dark arts himself! Well, the king will learn of it. Now, to dump the monarch's dirty laundry onto the prude's head. Make me a beauty potion for one of my bad girls.;192;
seeds-bandit;Граф говорил обо мне? Тогда ты знаешь, чего он хочет. Сделай так, чтобы мои парни подобрались к поместью барона незамеченными, и тогда ему не помогут ни влиятельные друзья, ни стражи.;The Count spoke of me, I presume? Then you know what he desires. Make sure that my men get to the Baron's estate undetected and neither friends in high places nor trusty retainers will save him.;183;
seeds-1;Не дает покоя моя земля соседу! Он барон влиятельный, дружбой с королем и епископом связан. Так и строчит доносы на меня, подлец! Проучить бы его… винцом, например, с зельем особым? Только без ядов!;A neighbor of mine envies my land. He is a baron of some influence, crony of both the king and the high bishop. Some spiked wine should teach him a lesson, what do you think? But avoid the poisons or we'll get in trouble.;198;
seeds-0;Король, чума его возьми, поручил вырастить небывалый урожай хлеба. Что ж, удивлю его! Отец привез из дальних краев диковинную пшеницу, вот только засохла она. Как бы ее омолодить, чтобы всходы дала?;His majesty, plague take him, commanded me to gather a grain harvest the likes of which has never been seen. Well, I've got some special seeds my father brought from overseas long ago. Know any way to revive them?;198;
M-healers;Мы, волею епископа, ходили под парусами в далекие страны и привезли для народа лекарства и целебные настои. Теперь развозим по деревням, раздаем. Но быстрее бы хотелось – хворых слишком много!;At the bishop's orders we sailed into distant lands to buy the ailments and balms for the sick. Now we make haste to distribute them across villages. We need something to speed us up!;192;183
M-people-defense;Меня по королевскому распоряжению отправили местных селян боевому ремеслу учить. Разбойники совсем замучили, хоть так им отпор дадим. Только хилые здесь все, такие и копье не удержат. Выручай!;The king commanded me here to teach the locals how to fight. Bandits are swarming in this parts, let the people defend themselves. But everyone here is so feeble, can't even hold a pike! Do something!;192;200
M-river-rogues;Наш старшой прознал, что королевские псы на реке возвели заставу и не дают местным бедолагам рыбку удить. Куда это годится? Дай зелий, чтобы наши парни там шороху навели и ушли незаметно.;Our chief heard that the royal dogs had built an outpost on the river and banned the poor locals from fishing. We want to make it right. Give us some potions to make lots of noise there and leave without a trace.;187;212
